area,average_wealth
afghanistan,6900.4186
albania,32045.7417
algeria,18785.7191
angola,10921.3359
argentina,30997.9153
armenia,20849.2419
australia,226073.157
austria,174671.2154
azerbaijan,22322.7907
bahamas,62812.3972
bahrain,57473.3182
bangladesh,14373.0461
belarus,12706.1488
belgium,220909.1915
belize,11311.111
benin,11251.0982
bhutan,21573.986
bolivia,39787.1886
bosnia_and_herzegovina,56998.7343
botswana,22102.6994
brazil,37705.2741
brunei_darussalam,87139.524
bulgaria,48681.8289
burkina_faso,8063.5197
burundi,2995.7633
cabo_verde,11582.7672
cambodia,25129.6973
cameroon,8740.6111
canada,224324.2561
central_african_republic,4385.5676
chad,5490.5908
chile,53040.4659
china,81201.2911
colombia,13789.0434
comoros,12830.1014
congo,8304.4562
costa_rica,55971.9478
cote_d⊙ivoire,7009.351
croatia,63537.8496
cuba,26072.5881
cyprus,113444.1799
czech_republic,90747.3426
denmark,209783.4238
djibouti,10705.4624
dominican_republic,33870.5491
dr_congo,1688.784
ecuador,10198.6885
egypt,21886.8271
el_salvador,13759.3399
equatorial_guinea,15625.3744
eritrea,3832.9147
estonia,94941.4616
ethiopia,7542.1029
finland,125947.5706
france,224959.3091
gabon,26789.593
gambia,3928.1592
georgia,10489.2855
germany,159531.2533
ghana,10894.2537
greece,73529.1594
guatemala,18018.9576
guinea,4988.5742
guinea-bissau,5437.759
guyana,64764.4268
haiti,6777.9182
honduras,10674.5068
hungary,95576.9724
iceland,260316.4248
india,35973.094
indonesia,12229.9594
iran,17536.764
iraq,13217.016
ireland,213107.5381
israel,127597.6895
italy,190562.6824
jamaica,19528.4306
japan,181454.8692
jordan,18086.444
kazakhstan,34595.8471
kenya,10028.129
korea,174124.0752
kuwait,97212.2829
kyrgyzstan,7324.1172
lao_pdr,20156.4745
latvia,88510.189
lebanon,11790.4586
lesotho,3678.9187
liberia,1718.8455
libya,62373.379
lithuania,83826.9597
luxembourg,185916.0316
macao,156225.6792
madagascar,4160.2288
malawi,1430.092
malaysia,40869.6714
maldives,30676.0965
mali,11027.5848
malta,108018.3883
mauritania,12142.5473
mauritius,30303.6718
mexico,61934.8032
moldova,7145.2359
mongolia,54095.468
montenegro,40823.8851
morocco,19340.4637
mozambique,4302.5244
myanmar,21380.5688
namibia,23269.5481
nepal,13095.84
netherlands,236235.7859
new_zealand,248144.2281
nicaragua,24765.8098
niger,4542.4823
nigeria,27727.6148
north_macedonia,30429.4864
norway,163826.4126
oman,20868.2895
pakistan,14180.9678
palestine,14610.393
panama,45802.6693
papua_new_guinea,6874.7937
paraguay,39771.3802
peru,27888.1271
philippines,16326.6061
poland,47283.3947
portugal,162907.2019
qatar,63227.2588
romania,71490.7365
russian_federation,54113.9816
rwanda,4711.5947
sao_tome_and_principe,5404.5161
saudi_arabia,116761.8411
senegal,6164.7444
serbia,12476.6016
seychelles,33196.4007
sierra_leone,7772.6453
singapore,336027.6708
slovakia,76720.4389
slovenia,90734.2475
somalia,2111.2655
south_africa,33435.4128
south_sudan,450.3549
spain,203301.6208
sri_lanka,16996.6417
sudan,11747.1833
suriname,35009.7129
swaziland,9970.0475
sweden,190607.903
switzerland,363678.0099
syrian_arab_republic,9466.9444
taiwan,337026.4616
tajikistan,8366.7796
tanzania,10723.679
thailand,12572.1506
timor-leste,28499.7141
togo,3289.8073
trinidad_and_tobago,28488.7491
tunisia,15798.2357
turkey,39478.0687
turkmenistan,34298.5187
uganda,5046.9866
ukraine,17195.65
united_arab_emirates,244280.7273
united_kingdom,217417.7977
uruguay,54820.8536
usa,279379.8757
uzbekistan,19397.13
venezuela,3845.3466
vietnam,20310.2634
yemen,4227.1218
zambia,9619.5294
zimbabwe,87.472
