area,average_wealth,hdi,gdp_capita,taxation,housing_index,desi,hicp,adult_percentage,,,,
totalaverage,122866,0.903,106,38,23,41.098,16.44547214,79,,,,
Austria,174671,0.922,126,55,22.27258012,41.2194,20.69043321,80.6,,,,
Belgium,220909,0.931,118,50,15.93040217,40.0032,19.75775086,77.6,,,,
Bulgaria,48682,0.816,53,10,29.24702503,28.0446,11.917706,81.1,,,,
Croatia,63538,0.851,66,30,-0.487942198,35.0614,12.5382263,80.6,,,,
Cyprus,113444,0.887,92,35,1.527419948,32.7206,8.704562615,78.3,,,,
Czech Republic,90747,0.9,93,23,23.9539749,37.1864,17.81420765,79.7,,,,
Denmark,209783,0.94,127,55,12.01360834,52.0512,11.29207383,77.6,,,,
Estonia,94941,0.892,82,20,55.41581109,46.5732,29.05863116,79,,,,
Finland,125948,0.938,109,56,11.04560968,54.1421,15.96506941,78.6,,,,
France,224959,0.901,106,45,8.647990256,39.4645,13.53310255,75.8,,,,
Germany,159531,0.947,121,45,24.03846154,38.3493,15.17467249,81.6,,,,
Greece,73529,0.888,66,44,-19,25.526,8.068769117,80.6,,,,
Hungary,95577,0.854,73,15,37.36870601,32.184,28.12829217,80.5,,,,
Iceland,260316,0.949,126,46,92.57962898,49,27.48779572,74.9,,,,
Ireland,213108,0.955,190,48,29.05195382,46.6974,3.987730061,72.9,,,,
Italy,190563,0.892,96,43,0.68359375,34.3431,13.28210757,82,,,,
Latvia,88510,0.866,69,31,32.57839721,40.9838,15.32249495,79.5,,,,
Lithuania,83827,0.882,84,20,28.87576461,42.191,19.84891614,80,,,,
Luxembourg,185916,0.916,254,45,38.26698424,47.7293,19.08937605,78.5,,,,
Malta,108018,0.895,103,35,21.32601351,47.4457,17.33185103,81.8,,,,
Netherlands,236236,0.944,128,49,23.60506529,50.5224,15.98684211,78.1,,,,
Norway,163826,0.957,145,38,29.44308853,50,22.93274531,76.4,,,,
Poland,47283,0.88,73,32,10.16949153,29.7769,16.05758583,79.9,,,,
Portugal,162907,0.864,79,48,23.4235161,40.3123,12.78955954,80.9,,,,
Romania,71491,0.828,69,10,18.00395071,22.3651,30.7738815,79,,,,
Slovakia,76720,0.86,69,25,13.34550248,33.2521,16.78198792,79.4,,,,
Slovenia,90734,0.917,88,50,13.2623034,40.8862,14.28726759,80.5,,,,
Spain,203302,0.904,91,47,21.75396348,47.037,13.0925263,80.3,,,,
Sweden,190608,0.945,119,52,31.80100756,51.9633,12.99799218,76.7,,,,
Switzerland,363678,0.955,156,40,33.07086614,51,0.635109656,80,,,,
United Kingdom,217418,0.932,107,45,17.5677111,46,24.48036952,76.6,,,,
Russia,54114,,,,,,,,,,,
Ukraine,17196,,,,,,,,,,,
Albania,32046,,,,,,,,,,,
Bosnia,56999,,,,,,,,,,,
Montenegro,40824,,,,,,,,,,,
North Macedonia,30429,,,,,,,,,,,
Belarus,12706,,,,,,,,,,,
Serbia,12477,,,,,,,,,,,
Moldova,7145,,,,,,,,,,,
